name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Turkey,TUR,TRY,10.75,4.70625,2018,2018-07-01,2.284196547
Taiwan,TWN,TWD,69,30.3725,2018,2018-07-01,2.271791917
Ukraine,UKR,UAH,50,26.199,2018,2018-07-01,1.908469789
Uruguay,URY,UYU,140,31.31,2018,2018-07-01,4.471414883
United States,USA,USD,5.51,1,2018,2018-07-01,5.51
Vietnam,VNM,VND,65000,23039.5,2018,2018-07-01,2.82124178
South Africa,ZAF,ZAR,31,13.3619,2018,2018-07-01,2.320029337
United Arab Emirates,ARE,AED,14,3.67315,2019,2019-01-01,3.811442495
Argentina,ARG,ARS,75,37.455,2019,2019-01-01,2.002402883
Australia,AUS,AUD,6.1,1.401639919,2019,2019-01-01,4.352045
Austria,AUT,EUR,3.76,0.8724861493,2019,2019-01-01,4.309524
Azerbaijan,AZE,AZN,3.95,1.6965,2019,2019-01-01,2.328323018
Belgium,BEL,EUR,4.2,0.8724861493,2019,2019-01-01,4.81383
Bahrain,BHR,BHD,1.2,0.377,2019,2019-01-01,3.183023873
Brazil,BRA,BRL,16.9,3.71795,2019,2019-01-01,4.545515674
Canada,CAN,CAD,6.77,1.3314,2019,2019-01-01,5.084873066
Switzerland,CHE,CHF,6.5,0.98165,2019,2019-01-01,6.62150461
Chile,CHL,CLP,2640,678.99,2019,2019-01-01,3.888127955
China,CHN,CNY,20.9,6.8497,2019,2019-01-01,3.051228521
